Rep_333_1_IN,Rep_333_1_IP
12.8777,15.4966
34.0596,19.556
320.003,942.724
20.7806,22.8614
73.134,184.757
0,0
25.8703,38.6894
0.398461,0.0443178
1.88465,3.43873
11.4355,17.2213
1.60518,0.800079
5.16074,11.0786
0.348693,0
5.23076,6.55299
17.2038,40.2081
0.150302,0.580245
0.0235192,0
72.5611,104.983
19.6092,24.3958
7.77247,14.2235
4.02703,2.76139
3.74142,2.73581
20.9067,15.6455
4.70655,3.95038
1.19732,0.914636
27.2204,59.1346
0,0
0,0
0.441477,0
82.249,59.6313
0.047677,0.0188246
0.507932,0
0,0
26.0901,48.561
22.0208,46.0589
4.11536,8.73189
0.242019,0
0,0
0,0
0.806662,4.69673
38.3614,123.344
0,0
22.2621,20.1951
1.99805,3.01433
2.64622,3.96277
0.871467,1.05122
16.4022,25.2515
5.02032,12.0019
2.42896,2.1825
3.89791,6.95319
0.0109525,0.536197
0.153053,0
0.282486,0.892214
21.8777,25.6476
0,0
0,0
7.17942,9.24794
7.61037,8.14872
0.364636,0.440891
0.0861378,0
46.425,87.4405
0,0
5.00832,14.0348
0.419661,0.662878
151.007,419.635
10.9522,16.9523
8.40731,17.6487
12.1656,20.1901
18.1346,17.5927
78.527,8.24195
7.82674,4.59157
17.407,22.0502
0.0563714,0.0111286
0,0
21.3145,28.4579
10.3738,18.3564
17.6494,35.7871
2.39782,1.5413
12.1681,13.9902
1.61408,1.91351
0.167029,0
0,0
2.52799,2.43652
0.149549,0
0.123081,0.0135143
150.241,353.605
16.76,24.307
0.37927,0.246643
1.22172,2.93132
0.160641,0.701444
19.6862,38.3116
1.27223,0.946983
0.0248785,0
28.713,31.6131
13.3971,7.25666
5.88601,4.68086
0.0990036,0
1.33357,3.7761
1.59284,0.642456
394.36,684.263
0.149528,0.1843
11.8733,19.4638
8.47183,37.4555
0,1.1452
13.7089,72.0098
0,0
10.3306,30.0282
2.34579,7.01828
0.14356,0.113339
98.724,296.767
21.2907,50.4294
9.81347,2.9358
0,0
0,0
0.398123,0.300085
0.00799452,0
0.0288667,0
1.42822,1.25381
29.4402,67.7215
0.1511,0.0117409
16.621,25.6189
24.1478,2.89794
100.07,142.809
0,0
8.36522,4.92891
222.193,390.925
0.0175349,0.0484054
139.103,190.33
0.660819,1.03201
0,0
9.1067,19.2149
0,0
41.8635,67.9735
5.95965,8.40323
0,0
304.794,541.024
136.57,282.276
11.4622,0.946571
44.9718,53.1188
1.62767,0.335224
8.06749,13.677
71.4667,147.245
2.99618,5.10753
1.03726,1.14146
0.109646,0.786148
11.7185,7.2829
156.178,333.551
0.0448909,0
1.29396,0
11.3936,16.419
1.06731,0
0.0420977,0
21.8176,47.5746
0.272668,0.0233819
1.51131,2.18587
4.88982,10.7549
31.7609,75.617
125.707,204.783
0,0
0.583875,0
0.384603,0.362111
34.0199,95.6929
263.368,348.908
3.84986,2.93194
146.723,452.127
20.3042,45.2018
16.8249,34.793
4.76048,7.51028
294.964,827.002
79.8959,241.68
1.47559,0.62573
1213.54,2529.24
2.00103,1.37623
11.6182,21.8829
0,0
8.53389,13.9714
5.26584,2.33096
3.63067,0.488207
0,0
62.9638,120.749
4.20301,1.30416
2.47478,3.33265
1.22632,0.368247
0.0481236,0
3.73186,3.3323
6.97617,2.54896
0.985681,1.62098
3.3108,2.39895
111.334,269.466
0,0
0.0192836,0
0,0
1.25955,0.363395
13.9504,16.502
89.523,246.652
22.4826,25.906
66.5427,57.7364
5.10425,4.30449
8.53215,14.1757
37.771,58.7477
0.223833,0
