gene_k,Rep_333_1_IN,Rep_333_1_IP,Rep_333_1_FC,Rep_333_2_IN,Rep_333_2_IP,Rep_333_2_FC,Rep_333_3_IN,Rep_333_3_IP,Rep_333_3_FC,Rep_444_1_IN,Rep_444_1_IP,Rep_444_1_FC,Rep_444_2_IN,Rep_444_2_IP,Rep_444_2_FC,Rep_444_3_IN,Rep_444_3_IP,Rep_444_3_FC
Hoxb6,0.0361903,0,-1.79769e+308,0.151333,0,-1.79769e+308,0.168223,0,-1.79769e+308,0,0,0,0,0,0,0,0,0
Loxl3,1.1527,0.0442385,-4.70357,1.81345,0.233659,-2.95626,1.98856,0.892003,-1.1566,1.71843,0.104003,-4.04639,2.29663,0.515738,-2.15481,1.03114,1.22349,0.246773
Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007307.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btn1a1,0.0135613,0,-1.79769e+308,0.0850644,0.169419,0.99397,0.190148,0.0593601,-1.67956,0.0794734,0,-1.79769e+308,0.244753,0.248244,0.0204294,0.105768,0.159137,0.589372
Kat2b,11.6247,2.20474,-2.39852,10.7557,4.58815,-1.22912,9.30852,2.64384,-1.81592,11.1399,5.40454,-1.0435,8.91718,2.1534,-2.04997,11.0505,6.93679,-0.671765
Rab5b,80.9242,111.251,0.459179,76.1753,101.866,0.419281,83.2065,93.2658,0.164652,89.043,95.5976,0.102472,82.6544,89.4416,0.113855,88.9466,106.08,0.254142
Cryba1,0,0,0,0,0,0,0.0900303,0,-1.79769e+308,0,0,0,0,0,0,0.135877,0,-1.79769e+308
Dnmt3l,0.252848,0,-1.79769e+308,0.151915,0,-1.79769e+308,0.200144,0,-1.79769e+308,0.0589238,0,-1.79769e+308,0.958452,0,-1.79769e+308,0.0755403,0.227314,1.58937
Aire,0,0,0,0.0216549,0,-1.79769e+308,0.0394525,0,-1.79769e+308,0.0606614,0,-1.79769e+308,0,0.379108,1.79769e+308,0.0484369,0,-1.79769e+308
Icosl,3.36191,1.06446,-1.65916,2.98898,1.03564,-1.52912,4.42673,1.29894,-1.7689,3.47814,0.210688,-4.04514,3.54385,0.744312,-2.25134,4.00579,0.80361,-2.31752
Spg7,10.6396,14.539,0.450474,8.72228,9.45126,0.115802,12.6843,13.9661,0.138883,7.88766,11.4319,0.535398,9.03825,12.1502,0.426865,11.4665,9.44808,-0.27933
Sult5a1,0.818911,10.7761,3.71799,0.409512,9.23357,4.49491,0.859346,8.25935,3.26472,0.737397,11.4294,3.95416,0.528185,10.3275,4.2893,1.13404,11.3519,3.32339
Rpl13,544.736,877.774,0.688293,603.19,1053.79,0.804907,484.613,779.598,0.685898,319.743,519.623,0.700555,420.02,577.439,0.459211,505.926,423.085,-0.25798
Chmp1a,70.9579,126.583,0.835045,72.5792,138.458,0.93182,76.8717,115.826,0.59143,56.6041,124.922,1.14205,69.5308,121.607,0.806499,69.9044,110.779,0.664233
Rpa1,34.6034,35.5658,0.0395757,33.6069,28.4119,-0.242266,34.3802,36.1957,0.0742388,40.6786,40.1666,-0.0182726,39.6321,40.159,0.0190537,43.8452,46.9276,0.0980166
Serpinf1,10.3229,13.5909,0.396803,15.1387,9.67398,-0.646057,13.6274,11.5427,-0.239525,14.0639,8.96669,-0.649345,15.0264,21.6037,0.523781,9.68017,14.0845,0.541009
Tubgcp3,11.8002,10.4858,-0.170379,11.564,12.2767,0.0862752,11.868,10.6361,-0.158115,13.739,15.8871,0.209581,19.2035,20.8277,0.117129,17.1915,17.4267,0.0196112
Oprm1,1.62617,3.45385,1.08673,1.57256,0.289181,-2.44307,0.849729,0.236871,-1.8429,2.35153,0.0830949,-4.82269,1.30958,0.570146,-1.1997,1.74856,0.44275,-1.98161
Polr3d,5.5624,13.2982,1.25745,6.00088,16.4999,1.45921,5.77021,17.0784,1.56548,6.06959,13.6041,1.16437,7.90146,16.553,1.0669,6.77052,14.9185,1.13976
Tcf7,2.27547,0.12195,-4.2218,1.84455,0.4184,-2.14031,2.61826,0.422082,-2.63301,1.98066,0.23076,-3.10151,2.17053,0.573593,-1.91995,1.08282,0.633632,-0.773082
Ddx3x,28.7634,39.4435,0.455552,28.5002,30.6669,0.105712,29.8926,41.636,0.478043,24.659,32.9956,0.420162,23.6881,34.888,0.558573,23.6772,41.1437,0.797177
Il12rb1,0.595644,0.0408475,-3.86613,1.00438,0.204498,-2.29615,0.501245,0.477607,-0.0696931,0.874455,0.59415,-0.557557,1.71579,1.34143,-0.355101,1.15652,0.80934,-0.514967
Slc5a5,5.61243,19.1584,1.77128,8.84271,30.3018,1.77685,6.26946,22.2616,1.82814,6.42137,20.1795,1.65194,6.35319,20.1434,1.66476,7.8289,15.3545,0.971779
